,prices,market_caps,total_volumes
2023-12-27 04:01:15.167,1.0313699460152412e-05,6084208636.858393,208280579.6564238
2023-12-27 05:01:04.878,1.0408055402887653e-05,6123344516.23859,207997955.93383437
2023-12-27 06:00:18.356,1.0449232116437866e-05,6152707800.107652,196401092.272028
2023-12-27 07:00:25.646,1.0480536929178718e-05,6179767184.455499,192109119.89153066
2023-12-27 08:00:38.088,1.0491767818986217e-05,6178456084.979913,186290193.62204143
2023-12-27 09:01:35.101,1.0589092738957586e-05,6233014751.160396,190684892.43241563
2023-12-27 10:00:38.600,1.0599779603354244e-05,6247752015.548978,183978542.51627788
2023-12-27 11:01:35.551,1.0805790396686263e-05,6350537348.470209,192050931.36774784
2023-12-27 12:01:15.573,1.0745209198416726e-05,6330466800.987954,196949264.50788927
2023-12-27 13:00:33.877,1.0723927759983916e-05,6311078342.444696,191461650.79976034
2023-12-27 14:00:32.557,1.07640386779091e-05,6342955351.135504,193126109.1938368
2023-12-27 15:00:08.335,1.076107693864343e-05,6340766160.717201,203359373.78562278
2023-12-27 16:01:17.479,1.0764591414724142e-05,6352447029.7584305,204360516.75012532
2023-12-27 17:01:20.076,1.0850151014406407e-05,6399337094.019441,209231512.0939483
2023-12-27 18:00:16.106,1.0802562943351374e-05,6350037330.763709,183068005.29497707
2023-12-27 19:00:23.390,1.0842351240817061e-05,6379674926.330191,167057288.59704947
2023-12-27 20:00:30.026,1.0815731269674203e-05,6361072703.806007,162650736.08339673
2023-12-27 21:00:45.242,1.0827274733713186e-05,6382656655.336711,163571517.19305256
2023-12-27 22:00:25.706,1.0859804880277967e-05,6398242232.102243,165467185.73911792
2023-12-27 23:00:19.392,1.0815941513322652e-05,6384021788.423355,158879587.26972112
2023-12-28 00:01:26.082,1.0903138428540585e-05,6419208981.027956,161665142.9770512
2023-12-28 01:01:14.979,1.0982246859520817e-05,6494637784.502222,171035767.38288876
2023-12-28 02:01:45.179,1.0949779302713679e-05,6445781232.19484,175528221.26876295
2023-12-28 03:00:37.321,1.0996875957991222e-05,6487127392.355438,175477090.68431818
2023-12-28 04:00:10.416,1.0985590898393501e-05,6465740707.436515,177456681.25331965
2023-12-28 05:00:19.276,1.0919276936157012e-05,6439344896.70429,179929376.8174961
2023-12-28 06:00:35.515,1.0874248811846497e-05,6409930471.936316,186302378.66453835
2023-12-28 07:00:04.484,1.079564710975507e-05,6368129205.762468,185802344.41466597
2023-12-28 08:00:43.618,1.0789469140737676e-05,6340990749.247369,193382757.41234508
2023-12-28 09:00:13.002,1.082749753786043e-05,6393193612.5066,193137023.23173898
2023-12-28 10:00:56.646,1.0809561415536997e-05,6373282981.789536,192928669.58052796
2023-12-28 11:00:47.962,1.0841041696008959e-05,6394517593.8978405,188293231.14301103
2023-12-28 12:00:40.765,1.0847877456254806e-05,6400542518.884897,184637992.9292994
2023-12-28 13:00:24.160,1.069839936889799e-05,6338076142.645201,182065763.90778503
2023-12-28 14:00:25.985,1.0708570336137833e-05,6308394203.086967,190522440.5573066
2023-12-28 15:01:05.100,1.0518171750899772e-05,6192560610.693524,199216824.4526008
2023-12-28 16:01:01.377,1.0549859217400123e-05,6214024145.7975645,204756057.00478232
2023-12-28 17:00:05.132,1.0584520137171387e-05,6242283274.25792,196963784.12066895
2023-12-28 18:00:30.494,1.065434197025366e-05,6286409386.207185,198906603.66264006
2023-12-28 19:00:31.034,1.060479445413707e-05,6252766769.565391,195701725.585088
2023-12-28 20:01:43.976,1.063231088012035e-05,6267853662.054956,196424582.94732866
2023-12-28 21:00:31.170,1.061369872848779e-05,6244868941.8977585,194101551.06656095
2023-12-28 22:01:18.548,1.0566776401253676e-05,6213029678.424783,192221419.06108087
2023-12-28 23:00:00.559,1.0628768210892105e-05,6257272099.908044,192377838.81840968
2023-12-29 00:00:10.072,1.063196797412973e-05,6271818042.850746,191744420.5790773
2023-12-29 01:01:14.109,1.0482916515423451e-05,6214214621.600636,186074483.4036631
2023-12-29 02:00:55.437,1.0393778446013843e-05,6116132410.439481,187636141.98278737
2023-12-29 03:00:16.811,1.0542010027333642e-05,6215745815.063081,187529781.04865468
2023-12-29 04:00:41.055,1.0591384284669252e-05,6245900734.178139,183898160.86584646
2023-12-29 05:00:57.226,1.0595853198443924e-05,6245910152.323289,176888807.62344316
